timestamp,Movimento
1742936910.739188,1742936911.710156
1742936912.990248,1742936914.075479
1742936915.423446,1742936916.558216
1742936917.861517,1742936918.950359
1742936920.344618,1742936921.410401
1742936922.795923,1742936923.98468
1742936925.314882,1742936926.503669
1742936927.77006,1742936928.949799
1742936930.263355,1742936931.405968
1742936932.623859,1742936933.689241
1742936935.074221,1742936936.117155
1742936937.29322,1742936938.399191
1742936939.592566,1742936940.713449
1742936941.952723,1742936943.099401
1742936944.356919,1742936945.454458
1742936946.597968,1742936947.659725
1742936948.980992,1742936949.965775
1742936951.415064,1742936952.453786
1742936953.7071,1742936954.800885
1742936955.945325,1742936957.052366
1742936958.365327,1742936959.500072
1742936960.744416,1742936961.930333
1742936963.133533,1742936964.136349
1742936965.31773,1742936966.589509
1742936967.815673,1742936968.946974
1742936970.15474,1742936971.203683
1742936972.658856,1742936973.821776
1742936975.07099,1742936976.246982
1742936978.650215,1742936979.730131
1742936980.784895,1742936981.978356
1742936983.218467,1742936984.362433
1742936985.784862,1742936986.988301
1742936988.387654,1742936989.578722
1742936990.909705,1742936992.072564
1742936993.770654,1742936995.018714
1742936996.697219,1742936997.965162
1742937001.389272,1742937002.533057
1742937003.773337,1742937005.041155
1742937006.172342,1742937007.298547
1742937011.131641,1742937012.312546
1742937013.635666,1742937014.870866
1742937016.412893,1742937017.739737
1742937019.70547,1742937020.95883
1742937022.422098,1742937023.785116
1742937025.240201,1742937026.462198
1742937027.944401,1742937029.189526
1742937030.49868,1742937031.948735
1742937033.212438,1742937034.493466
1742937035.679605,1742937037.103254
1742937038.425801,1742937039.630959
1742937040.92995,1742937042.179697
1742937043.475835,1742937044.498143
1742937045.684102,1742937046.87896
1742937048.28411,1742937049.537028
1742937051.019418,1742937052.272221
1742937053.398584,1742937054.48358
1742937055.709566,1742937056.903414
1742937058.703718,1742937059.875562
1742937061.225277,1742937062.376832
1742937063.594144,1742937064.705986
1742937066.022795,1742937067.084776
1742937068.474081,1742937069.581882
1742937071.022211,1742937072.216118
1742937073.688261,1742937074.99606
1742937076.399889,1742937077.684634
1742937079.047393,1742937080.263317
1742937082.555626,1742937083.795472
1742937085.518862,1742937086.739564
1742937088.476863,1742937089.724752
1742937091.420949,1742937092.54191
1742937094.082023,1742937095.372142
1742937097.003401,1742937098.128159
1742937099.892548,1742937101.122268
1742937102.723526,1742937103.822361
1742937105.47166,1742937106.706554
1742937109.901665,1742937111.077714
1742937112.476853,1742937113.748968
1742937115.349239,1742937116.706832
1742937118.042186,1742937119.500253
1742937121.03233,1742937122.381213
1742937125.206714,1742937126.483057
1742937127.923565,1742937129.262539
1742937130.757738,1742937132.129561
1742937133.902854,1742937135.20174
1742937136.878894,1742937138.286818
1742937139.563039,1742937141.003818
1742937142.598254,1742937144.176283
1742937145.543617,1742937146.974266
1742937148.400515,1742937149.753572
1742937151.116723,1742937152.452363
1742937153.874706,1742937155.264602
1742937156.864806,1742937158.308735
1742937159.876884,1742937161.471849
1742937162.980036,1742937164.543171
1742937166.046133,1742937167.286027
1742937168.767721,1742937169.911129
1742937171.461542,1742937172.810383
1742937174.113466,1742937175.267649
1742937176.711644,1742937178.138495
1742937179.423833,1742937180.668694
1742937182.063938,1742937183.608971
1742937185.251581,1742937186.393949
1742937187.976594,1742937189.228961
1742937190.88727,1742937192.15871
